"number","station_no","dam_name","reservoir","latitude","longitude","province","wma","place","catchment_area","fsc_1_000_000m_million_m","type","actual_lvl_20151130_million_m","actual_lvl_20151207_million_m","actual_lvl_20151214_million_m","actual_lvl_20151221_million_m","actual_lvl_20151228_million_m","actual_lvl_20160104_million_m","actual_lvl_20160111_million_m","actual_lvl_20160118_million_m","actual_lvl_20160125_million_m","actual_lvl_20160201_million_m","actual_lvl_20160208_million_m","actual_lvl_20160215_million_m","actual_lvl_20160229_million_m","actual_lvl_20160307_million_m","actual_lvl_20160314_million_m","actual_lvl_20160321_million_m","_20151123_percent_full","_20151130_percent_full","_20151207_percent_full","_20151214_percent_full","_20151221_percent_full","_20151228_percent_full","_20150104_percent_full","_20160111_percent_full","_20160118_percent_full","_20160125_percent_full","_20160201_percent_full","_20160208_percent_full","_20160215_percent_full","_20160229_percent_full","_20160307_percent_full","_20160314_percent_full","_20160321_percent_full","_2015_week_11_percent_full"
"218","T2R002","Mabeleni Dam ","Umtata","31.446760000000001","28.562449999999998","EC","12","Mhlahlane River @ Mabeleni Dam","10","2.0990000000000002",,"243.33","2.0830000000000002","2.0779999999999998","2.0830000000000002",,,"2.0459999999999998","2.0670000000000002",,"2.0830000000000002","2.0880000000000001","2.0779999999999998","2.0830000000000002","2.0779999999999998","2.0990000000000002","2.0990000000000002","98.9","99.4","99.2","99","99.2",,,"97.5","98.5",,"99.2","99.5","99","99.2","99","100","100","100"
"220","T2R003","Corana Dam ","Corana","31.437449999999998","28.874210000000001","EC","12","Corana River @ Corana Dam","5.3","0.754",,"2.0830000000000002","0.182","0.17599999999999999","0.16700000000000001",,,"0.14299999999999999","0.14000000000000001",,"0.20899999999999999","0.21299999999999999","0.20499999999999999","0.23","0.22","0.253","0.255","98","99.2","24.1","23.3","22.2",,,"19","18.600000000000001",,"27.8","28.3","27.2","30.5","29.2","33.6","33.9","43.9"
"221","T3R001","Belfort Dam","Belfort",,,"EC","12",,,"0.41299999999999998",,"0.158","0.154","0.14899999999999999","0.14499999999999999",,,"0.13200000000000001","0.128",,"0.23400000000000001","0.22800000000000001","0.35099999999999998","0.41299999999999998","0.40500000000000003","0.41299999999999998","0.39600000000000002","39.299999999999997","38.200000000000003","37.1","36.1","35",,,"31.9","30.9",,"56.5","55.2","85","100","98","100","95.8","100"
"222","T3R003","Ntenetyana Dam","Ntenetyana",,,"EC","12",,,"1.512",,"0.72299999999999998","0.71499999999999997","0.69299999999999995","0.67700000000000005",,,"0.64300000000000002","0.63400000000000001",,"0.63","0.62","0.61199999999999999","0.61199999999999999","0.61","0.61399999999999999","0.81799999999999995","48.8","47.8","47.3","45.8","44.8",,,"42.6","41.9",,"41.7","41","40.5","40.5","40.299999999999997","40.6","54.1","100"
"223","T3R004","Nqadu Dam","Nqadu",,,"EC","12",,,"1.274",,"0.67200000000000004","0.67200000000000004","0.67400000000000004","0.67400000000000004",,,"0.64400000000000002","0.63700000000000001",,"0.627","0.63500000000000001","0.63","0.63500000000000001","0.627","0.64","0.64500000000000002","56.4","52.8","52.8","52.9","52.9",,,"50.5","50",,"49.2","49.9","49.5","49.9","49.2","50.2","50.6","70.900000000000006"
"225","T7R001","Mlanga Dam","Mlanga",,,"EC","12",,,"1.597",,"0.247","0.23","0.21199999999999999","0.20200000000000001",,,"0.16600000000000001","0.16200000000000001",,"0.185","0.182","0.17199999999999999","0.20100000000000001","0.18099999999999999","0.20200000000000001","0.185","16.3","15.4","14.4","13.3","12.7",,,"10.4","10.1",,"11.6","11.4","10.7","12.6","11.3","12.7","11.6","45.5"
"226","U2R001","Midmar Dam ","Midmar","29.495090000000001","30.201450000000001","KN","11","Mgeni River @ Midmar Dam","928","235.42",,"118.08","117","116.06","114.85",,,"113.12","110.88",,"110.22","110.88","109.57","108.92","107.88","108.53","108.79","50.9","50.2","49.7","49.3","48.8",,,"48.1","47.1",,"46.8","47.1","46.5","46.3","45.8","46.1","46.2","78.400000000000006"
"227","U2R002","Nagle Dam ","Nagle","29.59057","30.62743","KN","11","Mgeni River @ Nagle Dam","2535","23.236000000000001",,"15.111000000000001","15.585000000000001","16.898","18.033000000000001",,,"19.34","20.289000000000001",,"19.164999999999999","19.295999999999999","18.859000000000002","17.606999999999999","17.294","18.119","20.109000000000002","60.5","65","67.099999999999994","72.7","77.599999999999994",,,"83.2","87.3",,"82.5","83","81.2","75.8","74.400000000000006","78","86.5","75.599999999999994"
"228","U2R003","Albert Falls Dam","Albert-Falls","29.431090000000001","30.425940000000001","KN","11","Mgeni River @ Albert Falls Dam","1653","288.14",,"123.59","120.48","118.93","117.07",,,"112.22","107.99",,"107.99","107.51","107.99","106.86","104.92","103.79","101.89","44","42.9","41.8","41.3","40.6",,,"38.9","37.5",,"37.5","37.299999999999997","37.5","37.1","36.4","36","35.4","75"
"229","U2R004","Inanda Dam ","Inanda","29.708909999999999","30.867069999999998","KN","11","Mgeni River @ Inanda Dam","4079","237.4",,"196.23","195.58","196.1","195.58",,,"193","190.95",,"191.72","190.32","188.54","187.78","186.14","186.27","190.57","83.6","82.7","82.4","82.6","82.4",,,"81.3","80.400000000000006",,"80.8","80.2","79.400000000000006","79.099999999999994","78.400000000000006","78.5","80.3","96"
"230","U3R001","Hazelmere Dam ","Hazelmere","29.598379999999999","31.042850000000001","KN","11","Mdloti River @ Hazelmere Dam","376","17.675999999999998",,"4.3949999999999996","4.3949999999999996","5.0469999999999997","5.468",,,"5.476","5.7569999999999997",,"6.0389999999999997","5.9690000000000003","5.8410000000000002","5.9870000000000001","5.8739999999999997","6.0570000000000004","6.7720000000000002","25.1","24.9","24.9","28.6","30.9",,,"31","32.6",,"34.200000000000003","33.799999999999997","33","33.9","33.200000000000003","34.299999999999997","38.299999999999997","45.2"
"235","V1R001","Spioenkop Dam ","Spioenkop","28.6813","29.517099999999999","KN","7","Tugela River @ Spioenkop Dam","2480","270.64",,"154.44","152.33000000000001","151.6","150.76",,,"149.72","151.07",,"159.66","162.57","163","170.71","171.72","180.37","185.59","57.5","57.1","56.3","56","55.7",,,"55.3","55.8",,"59","60.1","60.2","63.1","63.5","66.599999999999994","68.599999999999994","100.3"
"236","V1R002","Driel Barrage ","Driel Barrage","28.763500000000001","29.29101","KN","7","Tugela River @ Driel Barrage","1656","8.6940000000000008","Balancing Dam","7.984",,,"7.984",,,"8.548","8.8949999999999996",,"8.8949999999999996","8.6940000000000008","8.4039999999999999","8.4039999999999999","8.2910000000000004","8.2910000000000004","8.2910000000000004","91.8","91.8",,,"91.8",,,"98.3","102.3",,"102.3","100","96.7","96.7","95.4","95.4","95.4","99.2"
"237","V1R003","Woodstock Dam ","Woodstock","28.758710000000001","29.246310000000001","KN","7","Tugela River @ Woodstock Dam","1149","373.25","Balancing Dam","296.58999999999997",,,"296.58999999999997",,,"238.93","242.67",,"264.79000000000002","275.70999999999998","276.44",,"287.63","287.63","287.63","79.5","79.5",,,"79.5",,,"64","65",,"70.900000000000006","73.900000000000006","74.099999999999994",,"77.099999999999994","77.099999999999994","77.099999999999994","97"
"239","V2R001","Craigie Burn Dam","Craigie Burn","29.16329","30.287040000000001","KN","7","Mnyamvubu River @ Craigie Burn Dam","154","22.466000000000001",,"14.398999999999999","14.058","14.042","14.35",,,"14.074","13.881",,"14.696","15.031000000000001","15.183999999999999","15.031000000000001","14.663","14.73","15.065","65.900000000000006","64.099999999999994","62.6","62.5","63.9",,,"62.6","61.8",,"65.400000000000006","66.900000000000006","67.599999999999994","66.900000000000006","65.3","65.599999999999994","67.099999999999994","100.3"
"240","V2R002","Mearns Dam ","Mearns","29.246829999999999","29.970590000000001","KN","7","Mooi River @ Mearns Dam","932","5.1630000000000003",,"2.9790000000000001","3.0710000000000002","2.819","2.734",,,"3.504","4.0529999999999999",,"5.202","5.3449999999999998","5.2140000000000004","4.3810000000000002","3.238","4.2850000000000001","5.0570000000000004","58.1","57.7","59.5","54.6","53",,,"67.900000000000006","78.5",,"100.8","103.5","101","84.9","62.7","83","97.9","106.4"
"241","V2R003","Spring Grove Dam","Spring Grove","29.319749999999999","29.964960000000001","KN","7","Mooi River @ Spring Grove Dam","339","139.19999999999999",,"114.35","111.51","110.2","108.62",,,"101.34","100.74",,"109.27","113.4","114.35","118.04","118.04","119.9","121.4","83.9","82.1","80.099999999999994","79.2","78",,,"72.8","72.400000000000006",,"78.5","81.5","82.1","84.8","84.8","86.1","87.2","100.2"
"242","V3R001","Ntshingwayo Dam ","Ntshingwayo","27.953399999999998","29.948709999999998","KN","7","Ngagane River @ Ntshingwayo Dam","830","194.56",,"111.56","111.09","109.91","108.05",,,"102.95","104.8",,"108.05","108.51","107.12","109.68","108.05","109.91","112.75","58.6","57.3","57.1","56.5","55.5",,,"52.9","53.9",,"55.5","55.8","55.1","56.4","55.5","56.5","57.9","83.5"
"245","V7R001","Wagendrift Dam ","Wagendrift","29.041989999999998","29.85294","KN","7","Boesmans River @ Wagendrift Dam","744","55.9",,"42.393000000000001","42.393000000000001","40.713000000000001","40.299999999999997",,,"38.868000000000002","39.316000000000003",,"55.331000000000003","56.637999999999998","56.268000000000001","56.161999999999999","56.11","56.531999999999996","56.320999999999998","77.400000000000006","75.8","75.8","72.8","72.099999999999994",,,"69.5","70.3",,"99","101.3","100.7","100.5","100.4","101.1","100.8","100.8"
"246","W1R001","Goedertrouw Dam ","Goedertrouw","28.771429999999999","31.468730000000001","KN","6","Mhlatuze River @ Goedertrouw Dam","1279","301.26",,"96.058000000000007","93.605000000000004","94.228999999999999","94.456000000000003",,,"90.575000000000003","86.367999999999995",,"81.628","82.296000000000006","79.694999999999993","75.394999999999996","72.899000000000001","71.489000000000004","70.766000000000005","32.5","31.9","31.1","31.3","31.4",,,"30.1","28.7",,"27.1","27.3","26.5","25","24.2","23.7","23.5","45.1"
"248","W2R001","Klipfontein Dam ","Klipfontein","27.838730000000002","30.815519999999999","KN","6","Wit Mfolozi River @ Klipfontein Dam","340","18.085999999999999",,"4.0620000000000003","3.835","4.04","3.899",,,"3.4649999999999999","3.6779999999999999",,"3.5859999999999999","3.6989999999999998","3.8239999999999998","3.7090000000000001","3.4260000000000002","4.49","4.6109999999999998","23.6","22.5","21.2","22.3","21.6",,,"19.2","20.3",,"19.8","20.399999999999999","21.1","20.5","18.899999999999999","24.8","25.5","66.3"
"249","W3R001","Hluhluwe Dam ","Hluhluwe","28.121749999999999","32.179519999999997","KN","6","Hluhluwe River @ Hluhluwe Dam","723","25.893000000000001",,"7.16","6.95","6.7389999999999999","6.5570000000000004",,,"5.86","5.5170000000000003",,"5.0449999999999999","5.0019999999999998","4.843","4.6769999999999996","4.5960000000000001","4.5650000000000004","4.4850000000000003","28.4","27.7","26.8","26","25.3",,,"22.6","21.3",,"19.5","19.3","18.7","18.100000000000001","17.7","17.600000000000001","17.3","51.4"
"250","W4R001","Pongolapoort Dam ","Pongolapoort","27.418759999999999","32.071199999999997","KN","6","Phongolo River @ Pongolapoort Dam","7814","2267.0700000000002",,"1155.58","1155.58","1150.3800000000001","1145.19",,,"1120.8900000000001","1119.17",,"1096.1300000000001","1084.3399999999999","1075.1400000000001","1060.21","1046.9100000000001","1048.57","1053.55","51.5","51","51","50.7","50.5",,,"49.4","49.4",,"48.4","47.8","47.4","46.8","46.2","46.3","46.5","61.2"
"253","W5R001","Jericho Dam ","Jericho","26.65521","30.483840000000001","M","6","Mpama River @ Jericho Dam","218","59.273000000000003",,"45.817","45.777000000000001","45.341999999999999","45.106000000000002",,,"43.975999999999999","44.325000000000003",,"44.792000000000002","44.597000000000001","44.48","44.87","44.636000000000003","46.295000000000002","47.753999999999998","77.8","77.3","77.2","76.5","76.099999999999994",,,"74.2","74.8",,"75.599999999999994","75.2","75","75.7","75.3","78.099999999999994","80.599999999999994","77"
"254","W5R002","Westoe Dam ","Westoe","26.50572","30.625610000000002","M","6","Usutu River @ Westoe Dam","531","60.094999999999999",,"27.295000000000002","27.466000000000001","27.643000000000001","27.556999999999999",,,"27.385999999999999","27.643000000000001",,"27.9","27.856999999999999","27.771000000000001","29.045999999999999","29.045999999999999","31.067","32.298999999999999","45.9","45.9","46.1","46","45.9",,,"45.6","46",,"46.4","46.4","46.2","48.3","48.3","51.7","53.7","55.4"
"255","W5R003","Morgenstond Dam ","Morgenstond","26.71114","30.544139999999999","M","6","Ngwempisi River @ Morgenstond Dam","548","99.988",,"54.084000000000003","54.427999999999997","54.595999999999997","54.39",,,"53.911000000000001","54.459000000000003",,"53.435000000000002","53.707000000000001","57.612000000000002","53.707000000000001","52.558999999999997","54.802999999999997","56.9","54.4","54","54.3","54.6","54.4",,,"53.9","54.5",,"53.4","53.7","57.6","53.7","52.6","54.8","56.9","83.4"
"256","W5R004","Heyshope Dam ","Heyshope","26.997530000000001","30.524840000000001","M","6","Assegaai River @ Heyshope Dam","1120","444.94",,"394.89","396.75","394.43","392.12",,,"386.63","389.82",,"390.74","388.91","390.74","392.58","391.2","399.95","408.76","89.6","88.8","89.2","88.6","88.1",,,"86.9","87.6",,"87.8","87.4","87.8","88.2","87.9","89.9","91.9","100"
"257","X1R001","Nooitgedacht Dam ","Nooigedacht","25.94725","30.081189999999999","M","5","Komati River @ Nooitgedacht Dam","1585","78.343000000000004",,"53.22","51.871000000000002","51.232999999999997","49.973999999999997",,,"51.987000000000002","52.689",,"51.695999999999998","51.06","50.600999999999999","51.06","50.543999999999997","52.689","54.594000000000001","70","67.900000000000006","66.2","65.400000000000006","63.8",,,"66.400000000000006","67.3",,"66","65.2","64.599999999999994","65.2","64.5","67.3","69.7","94.6"
"258","X1R003","Vygeboom Dam ","Vygeboom","25.88233","30.61909","M","5","Komati River @ Vygeboom Dam","3127","78.02",,"59.298999999999999","60.179000000000002","60.12","59.533000000000001",,,"56.991","57.048000000000002",,"55.628999999999998","54.61","53.491","52.606000000000002","51.295000000000002","52.441000000000003","53.546999999999997","77.5","76","77.099999999999994","77.099999999999994","76.3",,,"73","73.099999999999994",,"71.3","70","68.599999999999994","67.400000000000006","65.7","67.2","68.599999999999994","100.9"
"259","X1R004","Driekoppies Dam ","Driekoppies","25.712520000000001","31.530149999999999","M","5","Lomati River @ Driekoppies Dam","902","250.92",,"152.76",,"147.16","143.28",,,"128.97","126.56",,,"117.7","114.73","111.93","109.74","111.81","111.81","62.3","60.9",,"58.6","57.1",,,"51.4","50.4",,,"46.9","45.7","44.6","43.7","44.6","44.6","92.2"
"260","X1R005","Maguga Dam","Maguga",,,"S","5",,,"333.75",,"144.30000000000001",,"144.66","141.33000000000001",,,"121.12","117.01",,"118.47","114.32","109.48","103.45","98.8","103.8","103.8","45","43.2",,"43.3","42.3",,,"36.299999999999997","35.1",,"35.5","34.299999999999997","32.799999999999997","31","29.6","31.1","31.1","95"
"261","X2R001","Longmere Dam ","Longmere","25.279630000000001","31.001000000000001","M","5","Wit River @ Longmere Dam","106","4.202",,"2.806",,"3","2.8479999999999999",,,"2.9710000000000001","2.3650000000000002",,"3.0449999999999999","2.8620000000000001","2.5630000000000002","2.7149999999999999","2.5369999999999999","2.7839999999999998","2.9049999999999998","72.099999999999994","66.8",,"71.400000000000006","67.8",,,"70.7","56.3",,"72.5","68.099999999999994","61","64.599999999999994","60.4","66.3","69.099999999999994","95.7"
"262","X2R002","Klipkopjes Dam ","Klipkopjes","25.22026","31.007470000000001","M","5","Wit River @ Klipkopjes Dam","76","11.776999999999999",,"7.5759999999999996",,"7.2969999999999997","7.4029999999999996",,,"6.7190000000000003","6.617",,"5.9180000000000001","5.9180000000000001","5.9180000000000001","5.4249999999999998","5.3789999999999996","5.3040000000000003","5.3339999999999996","64.400000000000006","64.3",,"62","62.9",,,"57.1","56.2",,"50.3","50.3","50.3","46.1","45.7","45","45.3","99.9"
